State,state_code,Month,Rain,value,car,economic,Airline,Water ,Air
Alabama,AL,January,0.90511,1,14,202118.2,2,44,46
Alabama,AL,February,0.11969,2,307,202918.2,26,35,46
Alabama,AL,March,0.74948,3,194,204228.6,13,23,46
Alabama,AL,April,0.0724,4,1378,204465.8,20,10,46
Alabama,AL,May,0.24285,5,165,204004.9,16,17,34
Alabama,AL,June,0.88963,6,113,186912.4,4,31,34
Alabama,AL,July,0.97009,7,40,204205.1,68,41,34
Alabama,AL,August,0.31,8,13,203700.7,12,46,34
Alabama,AL,September,0.17501,9,1049,207001.8,22,42,48
Alabama,AL,October,0.55,10,581,209857.1,23,31,48
Alabama,AL,November,0.89225,11,24,210029.1,12,25,48
Alabama,AL,December,0.05633,12,85,213029.2,59,41,48
Alaska,AK,January,0.601,1,479,53136.3,16,48,72
Alaska,AK,February,0.43936,2,348,53072.5,29,47,72
Alaska,AK,March,0.97428,3,117,53940.9,2,36,72
Alaska,AK,April,0.04695,4,138,53585.5,4,22,72
Alaska,AK,May,0.92004,5,322,53030,40,17,58
Alaska,AK,June,0.69386,6,263,48540.1,1,33,58
Alaska,AK,July,0.01184,7,55,50181.2,19,43,58
Alaska,AK,August,0.05315,8,219,51069.4,151,46,58
Alaska,AK,September,0.49752,9,139,50690.3,12,40,71
Alaska,AK,October,0.09147,10,342,50707.9,68,25,71
Alaska,AK,November,0.78211,11,130,50935.9,7,6,71
Alaska,AK,December,0.48,12,299,51143.5,10,14,71
Arizona,AZ,January,0.55564,1,395,320391.8,324,30,41
Arizona,AZ,February,0.29118,2,76,323022,45,42,41
Arizona,AZ,March,0.12342,3,84,327457.6,254,44,41
Arizona,AZ,April,0.83116,4,88,330709.7,1,37,41
Arizona,AZ,May,0.736,5,39,328587.6,2,24,39
Arizona,AZ,June,0.75943,6,201,310250,72,12,39
Arizona,AZ,July,0.80712,7,103,331692.4,101,19,39
Arizona,AZ,August,0.97219,8,332,338182.1,27,30,39
Arizona,AZ,September,0.91759,9,648,339659.7,96,36,35
Arizona,AZ,October,0.05954,10,22,344936.2,45,35,35
Arizona,AZ,November,0.21196,11,466,348706,60,27,35
Arizona,AZ,December,0.67148,12,198,357322,104,14,35
Arkansas,AR,January,0.082,1,167,116488.4,1,17,68
Arkansas,AR,February,0.92968,2,429,116386.4,32,31,68
Arkansas,AR,March,0.1653,3,29,117477.3,11,39,68
Arkansas,AR,April,0.72245,4,406,118152.6,183,40,68
Arkansas,AR,May,0.71551,5,33,118972.3,38,35,80
Arkansas,AR,June,0.066,6,469,119377.4,3,24,80
Arkansas,AR,July,0.59635,7,1209,119377.4,30,10,80
Arkansas,AR,August,0.20049,8,99,111033,103,8,80
Arkansas,AR,September,0.98447,9,27,121860.2,88,20,80
Arkansas,AR,October,0.87089,10,324,123015.2,42,28,80
Arkansas,AR,November,0.61044,11,202,123676.9,7,29,80
Arkansas,AR,December,0.03797,12,77,124837,54,23,80
California,CA,January,0.72926,1,221,2682675.6,115,16,104
California,CA,February,0.99429,2,27,2720749.7,61,10,104
California,CA,March,0.61504,3,25,2740837.8,38,23,104
California,CA,April,0.00224,4,194,2772640.2,56,35,104
California,CA,May,0.135,5,233,2726966.1,54,41,105
California,CA,June,0.84281,6,674,2497144.4,33,42,105
